category_id,buy_events_before,buy_events_after,buy_event_change
2735466,34,49,15
570735,15,30,15
2885642,35,49,14
3158249,5,16,11
3776866,2,13,11
4801426,27,38,11
1879194,13,23,10
2297500,2,12,10
3738615,6,16,10
4357323,11,21,10
4159072,17,26,9
903809,7,16,9
1299190,17,25,8
1320293,14,22,8
2520377,6,14,8
3248072,2,10,8
2945933,2,9,7
703487,1,8,7
2925160,1,7,6
366112,2,8,6
4558987,5,11,6
5063620,1,7,6
800581,6,12,6
866301,7,13,6
1572948,2,7,5
2540093,0,5,5
4242717,1,6,5
672001,0,5,5
1297992,1,5,4
1429156,0,4,4
1464116,34,38,4
1521931,1,5,4
1595193,2,6,4
1884568,2,6,4
2096639,5,9,4
2225310,0,4,4
2476560,1,5,4
2629787,0,4,4
2725426,0,4,4
2827444,1,5,4
284968,0,4,4
3004853,4,8,4
3231625,5,9,4
3666135,1,5,4
3669044,2,6,4
3940193,0,4,4
4095810,1,5,4
4285553,1,5,4
4633953,1,5,4
583485,0,4,4
772629,0,4,4
807138,0,4,4
846990,2,6,4
888094,0,4,4
1029459,14,17,3
1216617,2,5,3
1231891,0,3,3
1288487,0,3,3
1542241,0,3,3
1669167,1,4,3
1759909,0,3,3
2025483,0,3,3
2042400,1,4,3
2078551,0,3,3
2131531,2,5,3
2156574,0,3,3
238434,3,6,3
2433095,0,3,3
2462567,0,3,3
2520771,10,13,3
2739327,0,3,3
2896142,1,4,3
2982027,1,4,3
3002561,20,23,3
3189162,2,5,3
3194735,1,4,3
3299155,8,11,3
3354186,0,3,3
3419760,0,3,3
3439012,6,9,3
3544014,0,3,3
3579754,0,3,3
3598912,8,11,3
3667321,0,3,3
3673501,1,4,3
3720767,1,4,3
3744190,0,3,3
3999977,0,3,3
4167958,0,3,3
4173315,1,4,3
4181361,8,11,3
4308141,1,4,3
4339722,2,5,3
450901,2,5,3
4654786,0,3,3
4656779,0,3,3
4697972,4,7,3
4731191,0,3,3
4735133,0,3,3
4817527,1,4,3
4874384,1,4,3
4915680,0,3,3
4918438,4,7,3
5046132,0,3,3
5053508,12,15,3
5063923,0,3,3
5125081,0,3,3
582243,1,4,3
605882,0,3,3
685988,0,3,3
715319,0,3,3
72526,0,3,3
801221,4,7,3
886203,2,5,3
901282,1,4,3
965809,14,17,3
102272,4,6,2
1051370,4,6,2
106173,0,2,2
1082035,0,2,2
1104592,1,3,2
1107469,0,2,2
1169503,0,2,2
119741,0,2,2
1207256,0,2,2
1249761,0,2,2
1272549,0,2,2
1320782,0,2,2
1386805,0,2,2
1415279,0,2,2
1449177,2,4,2
14900,0,2,2
1508018,0,2,2
1528701,1,3,2
1587961,0,2,2
1628657,1,3,2
1665989,0,2,2
1673021,0,2,2
1723409,0,2,2
1813610,0,2,2
1850548,0,2,2
1873826,0,2,2
1875258,0,2,2
1943989,0,2,2
1973012,7,9,2
1988672,0,2,2
2072473,1,3,2
2106073,0,2,2
2116789,0,2,2
2148681,0,2,2
2191219,0,2,2
2228184,0,2,2
223690,1,3,2
2337395,1,3,2
2366905,2,4,2
2407396,0,2,2
245312,5,7,2
2466971,0,2,2
2492895,0,2,2
2576484,2,4,2
257793,0,2,2
2582254,0,2,2
2640118,18,20,2
2693696,0,2,2
2800021,0,2,2
2815065,1,3,2
2923285,0,2,2
2975713,0,2,2
3051006,0,2,2
307943,0,2,2
3090850,0,2,2
3100759,0,2,2
3112817,0,2,2
3123784,0,2,2
322167,0,2,2
3225747,0,2,2
322805,1,3,2
3232473,0,2,2
3283188,0,2,2
330316,1,3,2
3351726,0,2,2
3378887,0,2,2
338646,1,3,2
339124,0,2,2
3412811,0,2,2
3461823,1,3,2
350402,0,2,2
3524510,2,4,2
3573424,0,2,2
3576652,0,2,2
3604509,2,4,2
3616520,2,4,2
3632786,0,2,2
3645362,8,10,2
3653910,0,2,2
3702593,1,3,2
3745824,0,2,2
3747017,3,5,2
3827546,0,2,2
3848874,0,2,2
3898483,2,4,2
3900668,0,2,2
3941877,0,2,2
3952744,1,3,2
4006644,0,2,2
4062559,0,2,2
4069500,5,7,2
4077585,0,2,2
4121590,0,2,2
4174942,0,2,2
4183103,0,2,2
4197505,1,3,2
4217906,14,16,2
4282651,2,4,2
4286569,1,3,2
4391936,2,4,2
4411949,0,2,2
4437368,0,2,2
4458428,1,3,2
4464320,0,2,2
4498047,0,2,2
4550135,0,2,2
4602841,0,2,2
4728774,0,2,2
4750127,1,3,2
4758477,0,2,2
4789432,16,18,2
48094,0,2,2
4827537,0,2,2
4869428,1,3,2
4877478,0,2,2
4981793,0,2,2
50601,3,5,2
545259,1,3,2
578983,0,2,2
63690,0,2,2
63813,0,2,2
643752,0,2,2
719442,0,2,2
772894,2,4,2
854059,1,3,2
85955,1,3,2
869231,0,2,2
924708,0,2,2
960102,0,2,2
983613,0,2,2
1007732,0,1,1
1008362,0,1,1
1008611,0,1,1
1010656,1,2,1
1012333,0,1,1
1014564,0,1,1
1019260,0,1,1
1045172,2,3,1
1047470,0,1,1
1062391,0,1,1
1080925,0,1,1
1094282,0,1,1
1102540,2,3,1
112445,0,1,1
1127566,2,3,1
1138276,0,1,1
1149385,0,1,1
1158475,0,1,1
1165503,0,1,1
1168596,0,1,1
1171434,0,1,1
1174795,0,1,1
1176344,0,1,1
120033,0,1,1
1215367,0,1,1
1236409,0,1,1
1241067,0,1,1
1245220,0,1,1
1250975,0,1,1
1252230,0,1,1
1254330,0,1,1
1274818,0,1,1
1275696,0,1,1
1277731,0,1,1
1281171,0,1,1
128357,0,1,1
1338377,0,1,1
1354236,0,1,1
1356029,0,1,1
1367932,0,1,1
1397059,0,1,1
1397912,0,1,1
1404020,8,9,1
1416713,0,1,1
1419569,0,1,1
1431810,1,2,1
1446405,0,1,1
1447685,0,1,1
1455555,0,1,1
1462446,0,1,1
1465060,0,1,1
1466687,0,1,1
1467750,0,1,1
1474371,4,5,1
1483715,0,1,1
1485951,0,1,1
1488813,1,2,1
1505776,1,2,1
1582197,1,2,1
1592513,0,1,1
1601543,0,1,1
160181,1,2,1
1622413,0,1,1
1626142,0,1,1
1635194,0,1,1
1639158,0,1,1
1643917,0,1,1
166326,0,1,1
1677989,0,1,1
1691699,1,2,1
1717476,2,3,1
1721893,0,1,1
1722855,0,1,1
1728108,0,1,1
1729993,1,2,1
1780495,0,1,1
180183,0,1,1
181182,0,1,1
1817004,0,1,1
1829221,0,1,1
1842993,1,2,1
1846937,0,1,1
1858817,0,1,1
1867533,0,1,1
1868423,1,2,1
1872294,0,1,1
1876707,0,1,1
1881956,3,4,1
1888306,0,1,1
1901483,0,1,1
1916025,0,1,1
1925578,0,1,1
1935459,0,1,1
1936748,1,2,1
1947578,0,1,1
1950457,0,1,1
1957261,0,1,1
1964754,0,1,1
1972894,0,1,1
1974051,0,1,1
1988066,0,1,1
1994940,2,3,1
200278,6,7,1
2010885,0,1,1
2016952,0,1,1
2028981,0,1,1
2030976,3,4,1
2031969,0,1,1
2033408,5,6,1
2044304,0,1,1
2077723,0,1,1
2086128,0,1,1
2088964,0,1,1
2113224,0,1,1
211810,0,1,1
212449,0,1,1
2129196,0,1,1
2154669,0,1,1
2154867,2,3,1
2158870,0,1,1
2160208,0,1,1
2171,0,1,1
2176263,1,2,1
2194520,0,1,1
2200343,0,1,1
2214984,1,2,1
2218582,2,3,1
2223246,0,1,1
22257,0,1,1
2229246,0,1,1
2256028,0,1,1
226341,0,1,1
230481,0,1,1
2316980,1,2,1
2321441,1,2,1
2328010,0,1,1
2331312,0,1,1
2341266,0,1,1
2361828,0,1,1
2370610,0,1,1
2393184,1,2,1
24104,0,1,1
2413296,0,1,1
2430608,0,1,1
2431497,0,1,1
243423,0,1,1
2440115,5,6,1
2443475,0,1,1
245030,0,1,1
246973,0,1,1
2475942,1,2,1
2478177,0,1,1
2482357,0,1,1
2484494,0,1,1
2485713,0,1,1
24976,0,1,1
2500714,0,1,1
2526041,0,1,1
2528824,0,1,1
2535791,0,1,1
2555621,0,1,1
2573442,0,1,1
2584932,0,1,1
2588049,0,1,1
2590256,3,4,1
2602083,0,1,1
2611736,0,1,1
262541,0,1,1
2626421,2,3,1
2632873,0,1,1
2644484,0,1,1
2649368,0,1,1
2671549,0,1,1
267209,0,1,1
2672762,0,1,1
2673821,0,1,1
2674882,0,1,1
2678261,0,1,1
268040,0,1,1
2710853,0,1,1
2718588,0,1,1
2721770,1,2,1
2733371,1,2,1
2774299,2,3,1
2778281,2,3,1
2796753,0,1,1
2806049,0,1,1
2817793,0,1,1
2819811,0,1,1
2825431,0,1,1
283109,0,1,1
2832009,1,2,1
283996,0,1,1
2862133,0,1,1
2862512,0,1,1
2863168,0,1,1
2872443,0,1,1
2873526,0,1,1
2875366,0,1,1
2877672,2,3,1
2880419,0,1,1
2881914,0,1,1
2883724,0,1,1
2914440,0,1,1
2923068,0,1,1
2923541,0,1,1
2948269,0,1,1
2950158,0,1,1
2969269,0,1,1
2974419,0,1,1
2977465,1,2,1
2979796,0,1,1
2983928,0,1,1
2986945,0,1,1
2989452,0,1,1
3007355,0,1,1
3010483,0,1,1
3013991,0,1,1
3059103,0,1,1
3102419,2,3,1
3103283,1,2,1
3154173,0,1,1
3156448,0,1,1
3160926,0,1,1
3161951,0,1,1
3171095,0,1,1
3175480,0,1,1
3176349,0,1,1
321567,0,1,1
3235112,0,1,1
3258234,0,1,1
3264833,2,3,1
3274258,0,1,1
3282340,0,1,1
3295699,0,1,1
3303026,0,1,1
3323163,0,1,1
3342722,0,1,1
334831,0,1,1
3361496,0,1,1
3367924,0,1,1
3372283,0,1,1
3388914,0,1,1
3392099,0,1,1
3395587,0,1,1
3397084,0,1,1
3405071,0,1,1
3410573,0,1,1
3415144,0,1,1
3430419,2,3,1
3432434,0,1,1
3433325,0,1,1
3441583,1,2,1
344221,0,1,1
344833,0,1,1
3461081,0,1,1
3479353,0,1,1
3566034,1,2,1
3567828,0,1,1
3568839,0,1,1
3574673,0,1,1
3577636,1,2,1
3590468,0,1,1
3595690,0,1,1
3607626,0,1,1
3619575,2,3,1
3627351,1,2,1
3628508,0,1,1
3637176,0,1,1
3641399,0,1,1
3670457,0,1,1
3682757,0,1,1
3683798,0,1,1
3708707,0,1,1
3724091,0,1,1
3736316,2,3,1
3740075,0,1,1
374203,0,1,1
3745980,0,1,1
3747586,0,1,1
3749412,0,1,1
3756841,0,1,1
378466,0,1,1
3789342,0,1,1
3795340,0,1,1
3796207,0,1,1
3800818,0,1,1
380289,0,1,1
3829421,1,2,1
3833912,0,1,1
3836451,0,1,1
3866248,0,1,1
3870839,0,1,1
3884119,0,1,1
3888030,0,1,1
3897299,0,1,1
3904106,0,1,1
3912910,0,1,1
3917972,0,1,1
3933554,0,1,1
3973395,0,1,1
3980900,0,1,1
399287,0,1,1
3993644,0,1,1
4006013,1,2,1
4007123,0,1,1
4015820,0,1,1
401765,0,1,1
4018452,0,1,1
4032007,0,1,1
4045204,0,1,1
4050612,0,1,1
4056794,0,1,1
405755,1,2,1
4070504,0,1,1
4074849,0,1,1
4078249,0,1,1
4078898,0,1,1
4082778,1,2,1
4098232,0,1,1
4118464,0,1,1
4119922,0,1,1
412619,0,1,1
4129924,0,1,1
4132735,0,1,1
414708,0,1,1
4152994,0,1,1
4156438,1,2,1
4164234,0,1,1
4169506,0,1,1
4170025,0,1,1
4170419,7,8,1
4211850,0,1,1
4213030,0,1,1
4220654,0,1,1
4222240,0,1,1
4235673,0,1,1
4238676,0,1,1
4241691,0,1,1
4254099,0,1,1
4256143,0,1,1
4267003,1,2,1
4271180,0,1,1
4282670,0,1,1
4290971,0,1,1
4304606,0,1,1
432873,0,1,1
4334077,0,1,1
4345501,0,1,1
4365013,0,1,1
4374048,1,2,1
4386059,0,1,1
4391390,1,2,1
4397687,0,1,1
4398560,0,1,1
4402326,0,1,1
4443922,0,1,1
4446527,0,1,1
4455776,0,1,1
4462359,5,6,1
4468927,0,1,1
4509358,0,1,1
451092,0,1,1
4512393,0,1,1
4519460,1,2,1
4528620,0,1,1
4533189,2,3,1
4565729,0,1,1
4576874,1,2,1
4580532,0,1,1
4581579,0,1,1
4589142,0,1,1
4595718,0,1,1
4601757,0,1,1
4604594,0,1,1
4606718,3,4,1
4615159,0,1,1
4624272,0,1,1
4625708,0,1,1
4632044,0,1,1
4643350,3,4,1
4645906,0,1,1
4663501,0,1,1
4672807,7,8,1
4695078,0,1,1
4704484,0,1,1
4708262,0,1,1
4715451,0,1,1
4722263,0,1,1
4737339,0,1,1
476283,1,2,1
4776297,0,1,1
481876,0,1,1
4825728,0,1,1
4828523,0,1,1
4835015,0,1,1
4848899,0,1,1
4853207,0,1,1
4868797,0,1,1
4871255,1,2,1
4878483,0,1,1
4903093,0,1,1
4943103,1,2,1
4962280,1,2,1
4977749,0,1,1
4989387,0,1,1
4992952,0,1,1
5008466,0,1,1
5012555,0,1,1
5028478,0,1,1
5029530,0,1,1
5041153,1,2,1
5045733,0,1,1
5047668,0,1,1
5062853,0,1,1
5074895,0,1,1
5084833,0,1,1
5099474,0,1,1
5120683,0,1,1
5130965,0,1,1
5134623,0,1,1
5147460,0,1,1
519791,0,1,1
526781,0,1,1
560936,0,1,1
562672,0,1,1
577329,0,1,1
58836,3,4,1
588463,0,1,1
600175,0,1,1
609791,0,1,1
620869,0,1,1
622168,0,1,1
629741,0,1,1
642223,0,1,1
65099,0,1,1
65720,0,1,1
669762,0,1,1
678291,0,1,1
68149,0,1,1
693937,0,1,1
713731,0,1,1
714348,0,1,1
721242,0,1,1
750949,0,1,1
757910,0,1,1
777988,0,1,1
784055,0,1,1
794153,1,2,1
796856,0,1,1
842205,0,1,1
845650,0,1,1
873792,0,1,1
882098,0,1,1
895939,0,1,1
904454,0,1,1
906010,0,1,1
927764,0,1,1
928449,0,1,1
958821,0,1,1
970709,2,3,1
99763,0,1,1
999980,0,1,1
1023823,1,1,0
1026507,1,1,0
1046047,1,1,0
1074254,1,1,0
1075533,1,1,0
1080785,4,4,0
1258177,1,1,0
1269883,1,1,0
1277467,1,1,0
1343413,1,1,0
1349634,2,2,0
1376358,3,3,0
1440390,1,1,0
1454470,1,1,0
1480207,1,1,0
154040,3,3,0
1567637,4,4,0
1573465,3,3,0
157878,1,1,0
1629035,1,1,0
1637260,1,1,0
1646753,2,2,0
171529,1,1,0
1737857,1,1,0
1765288,1,1,0
1781126,1,1,0
1783423,1,1,0
1789614,5,5,0
1829804,1,1,0
1914382,1,1,0
1929875,1,1,0
194104,1,1,0
1990869,1,1,0
2020240,1,1,0
2066955,1,1,0
2137141,1,1,0
2156156,1,1,0
2157356,1,1,0
2158079,2,2,0
2181935,1,1,0
2188684,1,1,0
2195789,1,1,0
2201685,1,1,0
2247787,1,1,0
2255207,1,1,0
2259994,1,1,0
2310649,1,1,0
2370324,1,1,0
2426236,1,1,0
2495340,3,3,0
2548944,1,1,0
2558244,1,1,0
2581941,1,1,0
2591545,2,2,0
2615320,1,1,0
2667323,1,1,0
2685357,1,1,0
269234,1,1,0
2753808,1,1,0
2754205,1,1,0
2791234,1,1,0
2805193,1,1,0
2881542,1,1,0
2920476,2,2,0
2924150,1,1,0
2988293,1,1,0
3004643,1,1,0
3045016,1,1,0
3065645,11,11,0
3069540,1,1,0
3087458,3,3,0
3118167,2,2,0
3184079,1,1,0
3189935,3,3,0
3228699,1,1,0
3253210,1,1,0
3277224,2,2,0
3343095,1,1,0
339305,1,1,0
3422001,1,1,0
3425094,1,1,0
3455617,2,2,0
358773,1,1,0
3637084,4,4,0
3681810,1,1,0
375240,1,1,0
3774512,1,1,0
3794706,1,1,0
381850,9,9,0
383749,1,1,0
3886822,1,1,0
3937192,1,1,0
3944254,1,1,0
3975787,6,6,0
3995452,1,1,0
4022701,4,4,0
4086613,1,1,0
411153,8,8,0
4135836,1,1,0
4138583,3,3,0
4188178,1,1,0
4244990,1,1,0
428367,2,2,0
4310023,1,1,0
4317228,1,1,0
4331400,3,3,0
4338287,1,1,0
4355436,1,1,0
4378501,1,1,0
4392650,2,2,0
4482419,1,1,0
448398,1,1,0
4627820,1,1,0
4640311,2,2,0
4712571,2,2,0
4715650,3,3,0
4719814,6,6,0
4733463,1,1,0
4736474,1,1,0
4784134,3,3,0
4804883,2,2,0
4817379,1,1,0
4921805,1,1,0
4958794,1,1,0
4969568,1,1,0
5024228,1,1,0
5071267,6,6,0
5091223,1,1,0
5095125,1,1,0
5144469,1,1,0
542908,1,1,0
569703,1,1,0
62469,1,1,0
634390,3,3,0
651666,1,1,0
685330,1,1,0
722945,2,2,0
739426,2,2,0
767106,1,1,0
848854,1,1,0
858756,1,1,0
863375,2,2,0
865039,2,2,0
874415,3,3,0
922189,1,1,0
1015419,1,0,-1
1016971,1,0,-1
1025720,1,0,-1
1040356,1,0,-1
1050007,3,2,-1
1061857,1,0,-1
1068933,1,0,-1
1069119,1,0,-1
1079326,1,0,-1
1084665,1,0,-1
1089685,1,0,-1
1125862,1,0,-1
1132429,1,0,-1
1154246,2,1,-1
1170772,1,0,-1
1194737,2,1,-1
1213320,1,0,-1
122108,1,0,-1
1227327,1,0,-1
127525,1,0,-1
1297315,1,0,-1
1306853,1,0,-1
1312158,1,0,-1
1343555,1,0,-1
1366688,1,0,-1
1411462,1,0,-1
1423654,1,0,-1
1433774,1,0,-1
1442665,1,0,-1
1471163,5,4,-1
1485805,1,0,-1
1528133,2,1,-1
1532088,1,0,-1
1537669,1,0,-1
1545822,1,0,-1
1548278,4,3,-1
1565736,1,0,-1
1573426,4,3,-1
1608693,1,0,-1
1612623,1,0,-1
1639557,1,0,-1
1689352,1,0,-1
1692250,1,0,-1
1708445,1,0,-1
1712001,1,0,-1
1730376,1,0,-1
174239,2,1,-1
1787510,10,9,-1
1805756,1,0,-1
1807584,1,0,-1
1820842,1,0,-1
1827100,1,0,-1
1922400,1,0,-1
1928278,1,0,-1
1929516,1,0,-1
1943877,1,0,-1
1950665,1,0,-1
1965698,1,0,-1
1997475,1,0,-1
201867,1,0,-1
2018837,1,0,-1
202297,1,0,-1
2026832,1,0,-1
2050292,1,0,-1
2062239,1,0,-1
